0,92,34,172,125,159
375,272
1045,1050
2,3,57,58
3,2,51,57,60
92,0,34,172,125
1118,1124,464
1539,1544
178,137,819,832
17,67,192
1540,1541
19,45,48,63
292,48
994,1259
272,375
933,259
211,68
1049,32
137,178,819
1124,1118
1050,1045
215,58
32,1049,51,57,60
185,150
34,0,92
36,60,88
187,115,191
524,251
101,119
39,57
230,400
566,115
369,150
40,51
970,1542
144,148
44,159
1541,1540
236,499
45,19,63,157
499,236
48,19,292,65,157
148,144
1542,970
51,3,32,40,57
57,2,3,32,39,51,58,60
1543,1545
58,2,215,57
819,178,137
60,3,32,36,57,88
150,185,369
1544,1539
63,19,45,112,65
64,125
1545,1543
112,63,65
65,48,63,112
67,17
68,211
172,0,92
115,187,566
251,524
125,0,92,64
464,1118
157,45,48
191,187
1546,1547
1547,1546
1259,994
119,101
192,17
159,0,44
259,933
400,230
832,178
88,36,60
